Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
361;Ambra grisea;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml
12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml";"OTC: 4CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997036298
5909997036281
5909997036311
5909997151892
5909997151755
5909997152035
5909997151908
5909997151762
5909997152042
5909997151915
5909997151779
5909997152059
5909997151922
5909997151786
5909997152066
5909997151939
5909997151793
5909997152073
5909997151946
5909997151809
5909997152080
5909997151953
5909997151816
5909997152097
5909997151960
5909997151823
5909997152103
5909997151977
5909997151830
5909997152110";Boiron SA;FR
;;;;;"30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997151984
5909997151847
5909997152127
5909997151991
5909997151854
5909997152134
5909997152004
5909997151861
5909997152141
5909997152011
5909997151878
5909997152158
5909997152028
5909997151885
5909997152165";;
362;Ambro;Ambroxolum;tabletki musujące;30 mg;20 tabl.;OTC;5909990485819;Salutas Pharma GmbH;D
363;Ambro S;Ambroxoli hydrochloridum;płyn doustny;15 mg/ml;1 butelka 50 ml;OTC;5909990926817;Salutas Pharma GmbH;D
364;Ambrohexal;Ambroxoli hydrochloridum;roztwór do wstrzykiwań;7,5 mg/ml;"5 amp. 2 ml
20 amp. 2 ml";"Rp
Rp";"5909990341818
5909990341825";Salutas Pharma GmbH;D
365;Ambroksol Nycomed;Ambroxoli hydrochloridum;syrop;15 mg/5 ml;1 op. 150 ml;OTC;5909990292615;Nycomed Pharma Sp. z o.o.;PL
366;Ambroksol Nycomed;Ambroxoli hydrochloridum;syrop;30 mg/5 ml;1 op. 150 ml;OTC;5909990367313;Nycomed Pharma Sp. z o.o.;PL
367;Ambrosan;Ambroxoli hydrochloridum;tabletki;30 mg;"20 tabl.
30 tabl.";"OTC
OTC";"5909990960415
5909990960422";PRO.MED.CS. Praha a.s.;CZ
368;Ambrosol Teva;Ambroxoli hydrochloridum;syrop;15 mg/5 ml;"1 butelka 120 ml
1 butelka 200 ml";"OTC
OTC";"5909990345410
5909990086603";Teva Operations Poland Sp. z o.o.;PL
369;Ambrosol Teva;Ambroxoli hydrochloridum;syrop;30 mg/5 ml;"1 butelka 120 ml
1 butelka 200 ml";"OTC
OTC";"5909990344512
5909990086573";Teva Operations Poland Sp. z o.o.;PL
370;Ambrosol Teva;Ambroxoli hydrochloridum;tabletki;30 mg;"20 tabl.
40 tabl.
60 tabl.";"OTC
OTC
OTC";"5909990933440
5909990933457
5909990933464";Teva Pharmaceuticals Works Private Limited Company;H
371;Ambrotaxer;Ambroxoli hydrochloridum;syrop;15 mg/5 ml;1 butelka 100 ml;OTC;5909990864249;Sopharma PLC;BG
372;Ambroxol Aflofarm;Ambroxoli hydrochloridum;syrop;15 mg/5 ml;"1 op. 100 ml
1 op. 120 ml";"OTC
OTC";"5909990373710
5909990646630";Aflofarm Farmacja Polska Sp. z o.o.;PL
373;Ambroxol Aflofarm;Ambroxoli hydrochloridum;syrop;30 mg/5 ml;"1 butelka 100 ml
1 butelka 120 ml";"OTC
OTC";"5909990713516
5909990646623";Aflofarm Farmacja Polska Sp z o.o.;PL
374;Ambroxol hydrochloride Cyathus;Ambroxoli hydrochloridum;roztwór doustny;10 mg/dawkę;"1 butelka 13 ml
1 butelka 25 ml";"OTC
OTC";"5909990875931
5909990875948";Francia Farmaceutici S.r.l.;I
375;Amefar;Cetirizini dihydrochloridum;tabletki powlekane;10 mg;10 tabl.;OTC;5909990654864;Biofarm Sp. z o.o.;PL
376;Amerscan Medronate II Agent. Zestaw do sporządzania radiofarmaceutyku;Technetii 99mTc medronati solutio iniectabilis;proszek do sporządzania roztworu do wstrzykiwań;6,25 mg;5 fiol. proszku;Lz;5909990992614;"GE Healthcare Limited
GE Healthcare Limited Corolin Road";"GB
GB"
377;Amertil;Cetirizini dihydrochloridum;roztwór do stosowania doustnego;1 mg/ml;1 butelka 200 ml;Rp;5909990215393;"Basic Pharma Manufacturing B.V.
Biofarm Sp. z o.o.";"NL
PL"
378;Amertil;Cetirizini dihydrochloridum;krople doustne, roztwór;10 mg/ml;20 ml;Rp;5909990651979;Biofarm Sp. z o.o.;PL
379;Amertil;Cetirizini dihydrochloridum;tabletki powlekane;10 mg;"20 tabl.
30 tabl.";"Rp
Rp";"5909990410729
5909990410736";Biofarm Sp. z o.o.;PL
380;Amertil Bio;Cetirizini dihydrochloridum;tabletki powlekane;10 mg;"7 tabl.
10 tabl.";"OTC
OTC";"5909990011469
5909990652280";Biofarm Sp. z o.o.;PL
381;Amertil Biotabs;Cetirizini dihydrochloridum;tabletki do ssania;10 mg;"7 tabl.
10 tabl.";"OTC
OTC";"5909990654666
5909990654673";Losan Pharma GmbH;D
382;Amfidor;Sildenafilum;tabletki powlekane;25 mg;4 tabl.;Rp;5909990839025;"Atlantic Pharma - Producoes Farmaceuticas SA
Egis Pharmaceuticals PLC
Egis Pharmaceuticals PLC
West Pharma - Producoes de Especialidades Farmaceuticas S.A.";"P

H
H
P"
383;Amfidor;Sildenafilum;tabletki powlekane;50 mg;"1 tabl.
8 tabl.";"Rp
Rp";"5909990839032
5909990839179";"Atlantic Pharma - Producoes Farmaceuticas SA
Egis Pharmaceuticals PLC
Egis Pharmaceuticals PLC
West Pharma - Producoes de Especialidades Farmaceuticas S.A.";"P

H
H
P"
384;Amfidor;Sildenafilum;tabletki powlekane;100 mg;"1 tabl.
8 tabl.";"Rp
Rp";"5909990839049
5909990839186";"Atlantic Pharma - Producoes Farmaceuticas SA
Egis Pharmaceuticals PLC
Egis Pharmaceuticals PLC
West Pharma - Producoes de Especialidades Farmaceuticas S.A.";"P
H
H
P"
385;Amigrenex;Sumatriptanum;tabletki;50 mg;"2 tabl.
4 tabl. (1 x 4)
4 tabl. (2 x 2)
6 tabl. (1 x 6)
6 tabl. (3 x 2)";"Rp
Rp
Rp
Rp
Rp";"5909990077670
5909990077687
5909990077694
5909990077700
5909990077724";Laboratorios Liconsa, S.A.;E
386;Amigrenex;Sumatriptanum;tabletki;100 mg;"2 tabl.
4 tabl. (1 x 4)
4 tabl. (2 x 2)
6 tabl. (1 x 6)
6 tabl. (3 x 2)";"Rp
Rp
Rp
Rp
Rp";"5909990077748
5909990077755
5909990077762
5909990077779
5909990077786";Laboratorios Liconsa, S.A.;E
387;Amikacin B. Braun;Amikacinum;roztwór do infuzji;2,5 mg/ml;"10 butelek 100 ml
20 butelek 100 ml";"Rp
Rp";"5909990908622
5909990908639";B. Braun Medical S.A.;E
388;Amikacin B. Braun;Amikacinum;roztwór do infuzji;5 mg/ml;"10 butelek 100 ml
20 butelek 100 ml";"Rp
Rp";"5909990908646
5909990908653";B. Braun Medical S.A.;E
389;Amikacin B. Braun;Amikacinum;roztwór do infuzji;10 mg/ml;"10 butelek 100 ml
20 butelek 100 ml";"Rp
Rp";"5909990908660
5909990908677";B. Braun Medical S.A.;E
390;Aminomel 10 E;Produkt złożony;roztwór do infuzji;;"1 butelka 500 ml
1 butelka 1000 ml";"Lz
Lz";"5909990261819
5909990261826";Bieffe Medital S.p.A.;I
391;Aminomel 12,5 E;Produkt złożony;roztwór do infuzji;;"1 butelka 500 ml
1 butelka 1000 ml";"Lz
Lz";"5909990261918
5909990261925";Bieffe Medital S.p.A.;I
392;Aminomel Nephro;Produkt złożony;roztwór do infuzji;;"1 butelka 250 ml
1 butelka 500 ml";"Lz
Lz";"5909990261710
5909990261727";Bieffe Medital S.p.A.;I
393;Aminomix 1 Novum;Produkt złożony;roztwór do infuzji;;"4 worki 1500 ml
4 worki 1500 ml
4 worki 2000 ml
4 worki 2000 ml
6 worków 1000 ml
6 worków 1000 ml";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990419463
5909990817139
5909990419470
5909990817146
5909990419456
5909990817122";Fresenius Kabi Deutschland GmbH;D
394;Aminoplasmal 15% E;Produkt złożony;roztwór do infuzji;150 g/l;"1 butelka 500 ml
1 butelka 1000 ml";"Lz
Lz";"5909990659715
5909990659722";B. Braun Melsungen AG;D
395;Aminoplasmal B. Braun 10% E;Produkt złożony;roztwór do infuzji;100 g/l;"6 butelek 1000 ml
10 butelek 250 ml
10 butelek 500 ml";"Rp
Rp
Rp";"5909990619986
5909990619962
5909990619979";B. Braun Melsungen AG;D
396;Aminoplasmal Hepa 10%;Aminokwasów roztwór;roztwór do infuzji;100 g/l;1 butelka 500 ml;Lz;5909990308217;B. Braun Melsungen AG;D
397;Aminosteril KE 10% - bez węglowodanów, z elektrolitami;Produkt złożony;roztwór do infuzji;;"1 fl. 500 ml
1 fl. 1000 ml";"Lz
Lz";"5909990671618
5909990671625";Fresenius Kabi Austria GmbH;A
398;Aminosteril N-Hepa 8%;Produkt złożony;roztwór do infuzji;;1 butelka 500 ml;Lz;5909990226719;Fresenius Kabi Austria GmbH;A
399;Aminoven Infant 10%;Produkt złożony;roztwór do infuzji;;"1 butelka 100 ml
1 butelka 250 ml";"Rp
Rp";"5909990479412
5909990479429";Fresenius Kabi Austria GmbH;A
400;Amiokordin;Amiodaroni hydrochloridum;roztwór do wstrzykiwań;50 mg/ml;5 amp. 3 ml;Lz;5909990272617;Krka d.d., Novo mesto;SLO
401;Amisan;Amisulpridum;tabletki;50 mg;"12 tabl.
60 tabl.";"Rp
Rp";"5909990762873
5909990762880";PRO.MED.CS. Praha a.s.;CZ
402;Amisan;Amisulpridum;tabletki;100 mg;"30 tabl.
60 tabl.
150 tabl.";"Rp
Rp
Rp";"5909990762897
5909990762903
5909990762958";PRO.MED.CS. Praha a.s.;CZ
403;Amisan;Amisulpridum;tabletki;200 mg;"30 tabl.
60 tabl.
150 tabl.";"Rp
Rp
Rp";"5909990762965
5909990762972
5909990762989";PRO.MED.CS. Praha a.s.;CZ
404;Amisan;Amisulpridum;tabletki;400 mg;"30 tabl.
60 tabl.
150 tabl.";"Rp
Rp
Rp";"5909990762996
5909990763009
5909990763030";PRO.MED.CS. Praha a.s.;CZ
405;Amitriptylinum VP;Amitriptylini hydrochloridum;tabletki drażowane;10 mg;60 tabl.;Rp;5909990140817;ICN Polfa Rzeszów S.A.;PL
406;Amitriptylinum VP;Amitriptylini hydrochloridum;tabletki drażowane;25 mg;60 tabl.;Rp;5909990140916;ICN Polfa Rzeszów S.A.;PL
407;Amitriptylinum VP;Amitriptylini hydrochloridum;tabletki powlekane;10 mg;60 tabl.;Rp;5909991049010;ICN Polfa Rzeszów S.A.;PL
408;Amitriptylinum VP;Amitriptylini hydrochloridum;tabletki powlekane;25 mg;60 tabl.;Rp;5909991048914;ICN Polfa Rzeszów S.A.;PL
409;Amizepin;Carbamazepinum;tabletki;200 mg;50 tabl. ;Rp;5909990043910;Zakłady Farmaceutyczne POLPHARMA S.A.;PL
410;Amizepin PPH;Carbamazepinum;tabletki;200 mg;50 tabl.;Rp;5909990783649;Zakłady Farmaceutyczne POLPHARMA S.A.;PL
411;Amizolmet;Metamizolum natricum;roztwór do wstrzykiwań;500 mg/ml;10 amp. 2 ml;Rp;5909990924400;Sanitas AB;LT
412;Amlator;Atorvastatinum + Amlodipinum;tabletki powlekane;10 mg + 5 mg;"30 tabl.
90 tabl.";"Rp
Rp";"5909990894802
5909990894840";Gedeon Richter Romania S.A.;RO
413;Amlator;Atorvastatinum + Amlodipinum;tabletki powlekane;10 mg + 10 mg;"30 tabl.
90 tabl.";"Rp
Rp";"5909990894864
5909990894871";Gedeon Richter Romania S.A.;RO
414;Amlator;Atorvastatinum + Amlodipinum;tabletki powlekane;20 mg + 5 mg;"30 tabl.
90 tabl.";"Rp
Rp";"5909990894888
5909990894895";Gedeon Richter Romania S.A.;RO
415;Amlator;Atorvastatinum + Amlodipinum;tabletki powlekane;20 mg + 10 mg;"30 tabl.
90 tabl.";"Rp
Rp";"5909990894901
5909990894925";Gedeon Richter Romania S.A.;RO
416;Amlaxopin;Amlodipinum;tabletki;5 mg;"30 tabl.
60 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990752690
5909990752706
5909990707539";"Actavis hf.
Balkanpharma-Dupnitsa AD";"IS
BG"
417;Amlaxopin;Amlodipinum;tabletki;10 mg;"30 tabl.
60 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990752720
5909990752737
5909990707546";"Actavis hf.
Balkanpharma-Dupnitsa AD";"IS
BG"
418;Amlessa;tert-Butylamini perindoprilum + Amlodipinum;tabletki;4 mg + 5 mg;"30 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp";"5909990908134
5909990908141
5909990908158";"Krka d.d., Novo mesto
TAD Pharma GmbH";"SLO
D"
419;Amlessa;tert-Butylamini perindoprilum + Amlodipinum;tabletki;4 mg + 10 mg;"30 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp";"5909990908165
5909990908172
5909990908189";"Krka d.d., Novo mesto
TAD Pharma GmbH";"SLO
D"
420;Amlessa;tert-Butylamini perindoprilum + Amlodipinum;tabletki;8 mg + 5 mg;"30 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp";"5909990908196
5909990908202
5909990908233";"Krka d.d., Novo mesto
TAD Pharma GmbH";"SLO
D"
421;Amlessa;tert-Butylamini perindoprilum + Amlodipinum;tabletki;8 mg + 10 mg;"30 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp";"5909990908240
5909990908257
5909990908264";"Krka d.d., Novo mesto
TAD Pharma GmbH";"SLO
D"
422;Amlodigamma 5 mg tabletki;Amlodipinum;tabletki;5 mg;30 tabl.;Rp;5909990751044;"Artesan Pharma GmbH & Co. KG
Generosan GmbH
Generosan GmbH
Mauermann Arzeimittel KG";"D
D
D
D"
423;Amlodigamma 10 mg tabletki;Amlodipinum;tabletki;10 mg;30 tabl.;Rp;5909990751051;"Artesan Pharma GmbH & Co. KG
Generosan GmbH
Generosan GmbH
Mauermann - Arzneimittel KG";"D
D
D
D"
424;Amlodipine Accord;Amlodipinum;tabletki;5 mg;"10 tabl.
20 tabl.
28 tabl.
30 tabl.
50 tabl.
98 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990912162
5909990912179
5909990912186
5909990912193
5909990912209
5909990912230
5909990912247";Accord Healthcare Ltd;GB
425;Amlodipine Accord;Amlodipinum;tabletki;10 mg;"10 tabl.
20 tabl.
28 tabl.
30 tabl.
50 tabl.
98 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990912490
5909990912506
5909990912520
5909990912537
5909990912544
5909990912551
5909990912568";Accord Healthcare Ltd;GB
426;Amlodipine Arrow 5 mg;Amlodipinum;tabletki;5 mg;"30 tabl. (2 x 15)
30 tabl. (3 x 10)";"Rp
Rp";"5909990057368
5909990057351";"Akmon Pharmaceutical Industries LLC
Arrow Pharm (Malta) Limited
Juta Pharma GmbH
Medicofarma S.A.
Selamine LTD. T/A Arrow Generics Limited";"SLO

MT
D
PL
IRL"
427;Amlodipine Arrow 10 mg;Amlodipinum;tabletki;10 mg;"30 tabl. (2 x 15)
30 tabl. (3 x 10)";"Rp
Rp";"5909990057405
5909990057399";"Akmon Pharmaceutical Industries LLC
Arrow Pharm (Malta) Ltd.
Juta Pharma GmbH
Medicofarma S.A.
Selamine LTD. T/A Arrow Generics Limited";"SLO

MT
D
PL
IRL"
428;Amlodipine/Atorvastatin Pfizer;Amlodipinum + Atorvastatinum;tabletki powlekane;5 mg + 10 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990906857
5909990906864";Pfizer Manufacturing Deutschland GmbH ;D
429;Amlodipine/Atorvastatin Pfizer;Amlodipinum + Atorvastatinum;tabletki powlekane;10 mg + 10 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990906895
5909990906901";Pfizer Manufacturing Deutschland GmbH ;D
430;Amlodipine Bluefish;Amlodipinum;tabletki;5 mg;"14 tabl.
20 tabl.
28 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990800407
5909990800445
5909990800452
5909990800469
5909990800476
5909990800483";Bluefish Pharmaceuticals AB;S
431;Amlodipine Bluefish;Amlodipinum;tabletki;10 mg;"14 tabl.
20 tabl.
28 tabl.
30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp";"5909990800490
5909990800506
5909990800544
5909990800551
5909990800568
5909990800575";Bluefish Pharmaceuticals AB;S
432;Amlodipine Teva;Amlodipinum;tabletki;5 mg;"28 tabl.
30 tabl.";"Rp
Rp";"5909990721573
5909990721580";"Pharmachemie B.V.
TEVA Pharmaceutical Works Private Limited Company
Teva Czech Industries s.r.o.
Teva Pharmaceutical Works Private Limited Company
Teva Sante SA
Teva UK Ltd.";"NL
H

CZ
H

F
GB"
433;Amlodipine Teva;Amlodipinum;tabletki;10 mg;"28 tabl.
30 tabl.";"Rp
Rp";"5909990721597
5909990721603";"Pharmachemie B.V.
TEVA Pharmaceutical Works Private Limited Company
Teva Czech Industries s.r.o.
Teva Pharmaceutical Works Private Limited Company
Teva Sante SA
Teva UK Ltd.";"NL
H

CZ
H

F
GB"
434;Amlodipine Vitabalans;Amlodipinum;tabletki;5 mg;"30 tabl.
60 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990942176
5909990942183
5909990942190";Vitabalans Oy;FIN
435;Amlodipine Vitabalans;Amlodipinum;tabletki;10 mg;"30 tabl.
60 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990942237
5909990942244
5909990942251";Vitabalans Oy;FIN
436;Amlodipinum 123ratio;Amlodipinum;tabletki;10 mg;30 tabl.;Rp;5909990618750;Teva Operations Poland Sp. z o.o.;PL
437;Amlomyl;Amlodipinum;tabletki;5 mg;"10 tabl.
14 tabl.
28 tabl. w blistrze
28 tabl. w butelce
30 tabl. w blistrze
30 tabl. w butelce
50 tabl.
56 tabl. w blistrze
56 tabl. w butelce
60 tabl.
100 tabl. w blistrze
100 tabl. w butelce
180 tabl. w blistrze
180 tabl. w butelce
500 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990842445
5909990842452
5909990842469
5909990842544
5909990842476
5909990842551
5909990842483
5909990842490
5909990842568
5909990842506
5909990842520
5909990842575
5909990842537
5909990842582
5909990842599";"Generics [UK] Ltd.
McDermott Laboratories Ltd. t/a Gerard Laboratories
Tjoa Pack Hungary Ltd.";"GB
IRL
H"
438;Amlomyl;Amlodipinum;tabletki;10 mg;"10 tabl.
14 tabl.
28 tabl. w blistrze
28 tabl. w butelce
30 tabl. w blistrze
30 tabl. w butelce
50 tabl.
56 tabl. w blistrze
56 tabl. w butelce
60 tabl.
100 tabl. w blistrze
100 tabl. w butelce
180 tabl. w blistrze
180 tabl. w butelce
500 tabl.";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990842667
5909990842674
5909990842681
5909990842766
5909990842698
5909990842773
5909990842704
5909990842728
5909990842780
5909990842735
5909990842742
5909990842797
5909990842759
5909990842803
5909990842827";"Generics [UK] Ltd.
McDermott Laboratories Ltd. t/a Gerard Laboratories
Tjoa Pack Hungary Ltd.";"GB
IRL
H"
439;Amlonor;Amlodipinum;tabletki;5 mg;"30 tabl.
30 tabl. w blistrach";"Rp
Rp";"5909991117115
5909990642618";Pabianickie Zakłady Farmaceutyczne Polfa S.A.;PL
440;Amlonor;Amlodipinum;tabletki;10 mg;"30 tabl.
30 tabl. w blistrach";"Rp
Rp";"5909991117214
5909990642625";Pabianickie Zakłady Farmaceutyczne Polfa S.A.;PL
441;Amlopin 5 mg;Amlodipinum;tabletki;5 mg;"30 tabl. w blistrach
30 tabl. w pojemniku
98 tabl.";"Rp
Rp
Rp";"5909990048939
5909990048946
5909990777907";"LEK S.A.
Lek Pharmaceuticals d.d.
Rowa Pharmaceuticals Ltd.
Salutas Pharma GmbH
Salutas Pharma GmbH";"PL
SLO
IRL
D
D"
442;Amlopin 10 mg;Amlodipinum;tabletki;10 mg;"30 tabl. w blistrach
30 tabl. w pojemniku
98 tabl.";"Rp
Rp
Rp";"5909990048977
5909990048984
5909990777914";"LEK S.A.
Lek Pharmaceuticals d.d.
Rowa Pharmaceuticals Ltd.
Salutas Pharma GmbH
Salutas Pharma GmbH";"PL
SLO
IRL
D
D"
443;Amloratio;Amlodipinum;tabletki;5 mg;30 tabl.;Rp;5909990050963;Merckle GmbH;D
444;Amloratio;Amlodipinum;tabletki;10 mg;30 tabl.;Rp;5909990050956;Merckle GmbH;D
445;Amlozek;Amlodipinum;tabletki;5 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990799718
5909990072859";"Adamed Sp. z o.o.
Pabianickie Zakłady Farmaceutyczne Polfa S.A.";"PL
PL"
446;Amlozek;Amlodipinum;tabletki;10 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909990799817
5909990072866";"Adamed Sp. z o.o.
Pabianickie Zakłady Farmaceutyczne Polfa S.A.";"PL
PL"
447;Ammonium carbonicum;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH, Rp: 30CH - 200CH; 6K - 100MK";"5909997031378
5909997031361
5909997031392
5909997084480
5909997084336
5909997086293
5909997084497
5909997084343
5909997086309
5909997084503
5909997084350
5909997086316
5909997084510
5909997084367
5909997086323
5909997084527
5909997084374
5909997086330
5909997084534
5909997084381
5909997086347
5909997084541
5909997084398
5909997086354
5909997086217
5909997084404
5909997086361
5909997086224
5909997084411
5909997086378";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997086231
5909997084428
5909997086385
5909997086248
5909997084435
5909997086392
5909997086255
5909997084442
5909997086408
5909997086262
5909997084459
5909997086415
5909997086279
5909997084466
5909997086422
5909997086286
5909997084473
5909997086439";;
448;Ammonium causticum;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK";"4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml
12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml";"OTC: 4CH - 15CH, Rp: 30CH - 200CH; 6K - 10MK";"5909997030050
5909997030043
5909997030074
5909997192116
5909997191980
5909997192246
5909997192123
5909997191997
5909997192253
5909997192130
5909997192000
5909997192260
5909997192147
5909997192017
5909997192277
5909997192154
5909997192024
5909997192284
5909997192161
5909997192031
5909997192291
5909997192178
5909997192048
5909997192307
5909997192185
5909997192055
5909997192314
5909997192192
5909997192062
5909997192321";Boiron SA;FR
;;;;;"30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml";;"5909997192208
5909997192079
5909997192338
5909997192215
5909997192086
5909997192345
5909997192222
5909997192093
5909997192352
5909997192239
5909997192109
5909997192369";;
